Date_start,Power_kW,temp_C,HR,windSpeed_m_s,windGust_m_s,pres_mbar,solarRad_W_m2,rain_mm_h,rain_day,Hour,Hol_Wknd
2017-01-31 17:00:00,298.0561766,11.924166666666666,89.59166666666665,2.4005,3.5221666666666667,1014.0,19.4395,0.09999999999999999,10.6,17,0.0
2017-01-31 18:00:00,233.3824766,11.799166666666666,90.48333333333333,1.7243333333333333,2.78825,1014.25,1.7863333333333333,0.0,10.6,18,0.0
2017-01-31 19:00:00,203.0563717,11.8975,90.675,0.6516666666666667,1.0062499999999999,1015.0,1.5555,0.0,10.6,19,0.0
2017-01-31 20:00:00,171.8564393,12.049166666666666,88.675,1.9079166666666667,2.4319166666666665,1015.5833333333334,1.5625,0.10000000000000002,10.700000000000001,20,0.0
2017-01-31 21:00:00,157.6857828,11.673333333333334,86.91666666666667,4.09525,5.032,1016.0,1.664,0.4583333333333333,11.158333333333333,21,0.0
2017-01-31 22:00:00,151.7381047,11.2025,84.73333333333333,4.469083333333334,5.450833333333333,1015.5,0.8723333333333333,0.041666666666666664,11.199999999999998,22,0.0
2017-01-31 23:00:00,149.3428755,10.902500000000002,84.325,2.3794999999999997,2.80925,1016.0,0.9254166666666667,0.0,11.199999999999998,23,0.0
2017-02-01 00:00:00,149.4977575,11.196666666666667,77.825,3.45225,4.130166666666667,1016.6666666666666,0.9345833333333333,0.0,0.0,0,0.0
2017-02-01 01:00:00,149.6407094,11.428333333333333,79.73333333333333,3.0818333333333334,3.8995833333333336,1017.0,1.32,0.0,0.0,1,0.0
2017-02-01 02:00:00,146.7239046,11.6325,78.7,2.5561666666666665,3.0819166666666664,1017.0,1.6293333333333333,0.0,0.0,2,0.0
2017-02-01 03:00:00,144.8006469,11.569166666666668,80.70833333333333,3.0050000000000003,3.606,1017.25,1.0454166666666667,0.0,0.0,3,0.0
2017-02-01 04:00:00,144.1744213,11.115833333333333,83.15833333333333,2.8826666666666667,3.5011666666666668,1017.1666666666666,1.0038333333333334,0.0,0.0,4,0.0
2017-02-01 05:00:00,146.9470184,11.019166666666665,83.7,3.25475,3.7109166666666664,1017.75,1.4031666666666667,0.0,0.0,5,0.0
2017-02-01 06:00:00,167.6769276,11.219166666666666,82.78333333333333,2.2885833333333334,2.53675,1018.0833333333334,1.532333333333333,0.0,0.0,6,0.0
2017-02-01 07:00:00,201.5751556,11.378333333333332,79.66666666666667,2.6538333333333335,2.998083333333333,1019.0,8.23925,0.0,0.0,7,0.0
2017-02-01 08:00:00,257.7556709,12.090833333333334,74.66666666666667,2.5540833333333333,3.12375,1019.1666666666666,96.3225,0.0,0.0,8,0.0
2017-02-01 09:00:00,307.6659768,12.82,70.79583333333333,2.9927500000000005,3.9624166666666665,1020.0,231.91666666666666,0.0,0.0,9,0.0
2017-02-01 10:00:00,324.900576,13.463333333333333,64.48583333333333,4.1265,5.346583333333334,1020.0,389.8666666666666,0.0,0.0,10,0.0
2017-02-01 11:00:00,341.3800208,13.473846153846154,59.072307692307696,5.525461538461538,7.236769230769231,1020.0,503.0,0.0,0.0,11,0.0
2017-02-01 12:00:00,314.6478062,13.75,58.544999999999995,6.260666666666666,7.863500000000001,1019.25,496.925,0.0,0.0,12,0.0
2017-02-01 13:00:00,311.959557,13.661666666666667,58.835,6.217,8.1135,1018.5,432.80833333333334,0.0,0.0,13,0.0
2017-02-01 14:00:00,327.6011739,13.604166666666666,60.2575,7.383416666666666,9.2875,1017.8333333333334,327.69166666666666,0.0,0.0,14,0.0
2017-02-01 15:00:00,332.992114,13.179166666666667,65.16666666666667,7.509333333333333,9.09825,1018.0,106.19166666666666,0.0,0.0,15,0.0
2017-02-01 16:00:00,333.8776623,13.15,65.55166666666666,7.201416666666667,9.099166666666667,1018.0,49.36416666666667,0.0,0.0,16,0.0
2017-02-01 17:00:00,292.3052405,12.905833333333334,71.54333333333334,6.7876666666666665,8.74325,1018.0,8.402916666666668,0.05833333333333334,0.05833333333333334,17,0.0
2017-02-01 18:00:00,238.0161693,12.900833333333333,73.34166666666667,7.8187500000000005,9.435,1017.5,1.8023333333333333,0.15833333333333335,0.20000000000000004,18,0.0
2017-02-01 19:00:00,197.7684072,13.124166666666667,72.85833333333333,6.8814166666666665,8.51125,1017.0,1.7745833333333334,0.0,0.20000000000000004,19,0.0
2017-02-01 20:00:00,161.4680431,13.300833333333335,72.88333333333334,7.846916666666668,9.811666666666667,1016.25,1.4144166666666667,0.0,0.20000000000000004,20,0.0
2017-02-01 21:00:00,154.2256352,12.561666666666667,82.63333333333334,8.32,10.523333333333333,1016.0,2.27075,0.08333333333333333,0.2833333333333334,21,0.0
2017-02-01 22:00:00,145.7717989,12.566666666666668,87.10000000000001,9.028333333333334,12.160833333333334,1016.0,2.017,0.48333333333333334,0.7666666666666666,22,0.0
2017-02-01 23:00:00,146.9380185,12.836153846153847,88.25384615384615,8.737,10.760769230769231,1015.0769230769231,1.2207692307692308,1.0384615384615385,1.7923076923076924,23,0.0
2017-02-02 00:00:00,150.7363949,13.04,90.30833333333334,9.241083333333334,11.698333333333332,1014.4166666666666,1.23475,2.3333333333333335,1.3916666666666666,0,0.0
2017-02-02 01:00:00,148.3731886,13.351666666666667,90.69166666666666,10.348333333333334,13.459166666666667,1014.0,1.1353333333333333,1.1583333333333334,2.533333333333333,1,0.0
2017-02-02 02:00:00,146.206515,13.579166666666666,90.84166666666665,10.0365,13.083333333333334,1012.9166666666666,0.8075833333333334,0.6916666666666668,3.216666666666667,2,0.0
2017-02-02 03:00:00,144.9984354,13.804166666666667,90.26666666666667,9.065833333333334,11.719166666666666,1013.0,0.8976666666666667,0.30833333333333335,3.5,3,0.0
2017-02-02 04:00:00,144.0281206,13.746666666666668,90.25833333333333,10.7275,13.921666666666667,1012.0833333333334,0.8721666666666666,0.9416666666666668,4.441666666666666,4,0.0
2017-02-02 05:00:00,145.9645642,13.915833333333333,89.72500000000001,9.023916666666667,11.74,1012.5833333333334,0.96,0.7583333333333333,5.183333333333334,5,0.0
2017-02-02 06:00:00,168.7943803,13.935833333333333,84.175,9.58,12.265833333333333,1013.0,0.8976666666666665,0.125,5.3,6,0.0
2017-02-02 07:00:00,193.5455704,13.574166666666665,82.95833333333333,8.339333333333334,10.545,1013.4166666666666,4.281,0.0,5.3,7,0.0
2017-02-02 08:00:00,253.9028765,13.618333333333334,72.4075,8.091416666666666,10.608333333333334,1014.5833333333334,64.855,0.09166666666666667,5.391666666666667,8,0.0
